,index,Track,Artist,Album,Plays,Year,Month,Hour,Temperature
366,733,Fever Pitch,Rainbow Kitten Surprise,How To: Friend Love Freefall,75,2019.0,7.0,17.0,69.5
367,830,Unfazed (feat. The Weeknd),Lil Uzi Vert,Luv Is Rage 2,75,2017.0,9.0,13.0,65.5
368,146,Free Fallin' - Live at the Nokia Theatre Los Angeles CA - December 2007,John Mayer,Where The Light Is: John Mayer Live In Los Angeles,75,2018.0,8.0,6.0,64.0
369,224,Self Control,Frank Ocean,Blonde,75,2018.0,9.0,6.0,64.0
370,628,She Wants My Money,Dominic Fike,Don't Forget About Me Demos,75,2020.0,4.0,14.0,60.5
371,323,Ain't Nobody Takin My Baby,Russ,Ain't Nobody Takin My Baby,75,2018.0,3.0,3.0,55.0
372,484,Controlla (SWAVE SESSION),ToryLanez,,74,2017.0,6.0,12.0,74.75
373,248,High for This,The Weeknd,Trilogy,74,2017.0,8.0,5.0,74.0
374,924,All the Debts I Owe,Caamp,Caamp,74,2020.0,8.0,15.0,61.75
375,1098,Pop Sh*t,Quality Control,Quality Control: Control the Streets Volume 1,74,2018.0,10.0,13.0,50.0
376,1001,Take A Step Back,Ski Mask the Slump God,TAKE A STEP BACK,73,2017.0,7.0,13.0,78.5
377,240,Wicked Games,The Weeknd,Trilogy,73,2017.0,8.0,5.0,77.5
378,314,No New Friends,DJ Khaled,Suffering From Success (Deluxe Version),73,2017.0,8.0,5.0,77.5
379,875,Outta My Head (with John Mayer),Khalid,Free Spirit,73,2020.0,6.0,14.0,70.5
380,615,Drank,Jeremih,Late Nights: The Album,72,2017.0,8.0,5.0,76.25
381,535,Deuces,Chris Brown,Deuces featuring Tyga & Kevin McCall,72,2017.0,8.0,5.0,74.5
382,1427,Birds Dont Sing,TV Girl,French Exit,72,2019.0,3.0,14.0,60.5
383,318,DnF,Preme,Dear America,71,2017.0,8.0,5.0,77.5
384,619,Wu-Tang Forever,Drake,Nothing Was the Same,71,2017.0,8.0,4.0,77.5
385,246,Make Love,Chris Brown,Royalty (Deluxe Version),71,2017.0,8.0,5.0,76.5
386,77,The Spins,Mac Miller,K.I.D.S.,71,2020.0,9.0,17.0,74.5
387,131,In One Ear,Cage the Elephant,Cage The Elephant (Expanded Edition),71,2019.0,8.0,14.0,71.5
388,641,Had Some Drinks,Two Feet,Had Some Drinks,71,2019.0,4.0,19.0,68.5
389,100,Woman,Wolfmother,Wolfmother,71,2019.0,8.0,14.0,63.5
390,670,B,Jaden Smith,SYRE,71,2018.0,2.0,11.0,53.5
391,1118,Left Hand Free,alt-J,This Is All Yours,70,2018.0,6.0,14.0,78.0
392,614,The Worst,Jhené Aiko,Sail Out,70,2017.0,8.0,4.0,77.0
393,239,A.N.O.,Elhae,A.N.O.,70,2017.0,8.0,6.0,76.5
394,262,Do Not Disturb,Drake,More Life,70,2017.0,8.0,5.0,76.5
395,447,Honestly,Hippo Campus,Bambi,70,2019.0,8.0,15.0,69.0
396,196,Threat Of Joy,The Strokes,Future Present Past,70,2019.0,5.5,14.0,57.75
397,545,Suncity (feat. Empress Of),Khalid,Suncity,70,2019.0,10.0,15.0,55.75
398,756,Planez,Jeremih,Planes,70,2019.0,2.0,4.0,54.0
399,773,Icon,Jaden,SYRE,69,2018.0,8.0,13.0,78.5
400,650,Japan,Famous Dex,Dex Meets Dexter,69,2018.0,7.0,15.0,78.0
401,202,i miss the old u,Blackbear,digital druglord,69,2018.0,9.0,16.0,77.0
402,1706,waves - Tame Impala Remix,Miguel,Rogue Waves,69,2019.0,5.0,14.0,75.0
403,560,Swang (Remix) (ft. Rae Sremmurd),Travis Scott,Swang (Remix),69,2017.0,7.0,14.0,74.0
404,886,Television / So Far So Good,Rex Orange County,Apricot Princess,69,2019.0,6.0,14.0,70.5
405,371,Magnolia,Playboi Carti,Playboi Carti,69,2017.0,10.0,13.0,62.0
406,1973,Move to San Francisco,Circa Waves,Happy,69,2020.0,3.0,14.0,62.0
407,140,Solo,Frank Ocean,Blonde,69,2018.0,9.0,5.0,60.5
408,204,Lust,Lil Skies,Life of a Dark Rose,69,2018.0,11.0,13.0,56.0
409,306,Live For,The Weeknd,Kiss Land,68,2017.0,8.0,5.0,75.5
410,826,outside,Travis Scott,Birds in the Trap Sing McKnight,68,2017.0,9.0,13.0,65.75
411,2093,Butterfly Effect,Travi$ Scott,Butterfly Effect,67,2017.0,8.0,14.0,82.0
412,249,The Zone,The Weeknd,Trilogy,67,2017.0,8.0,5.0,76.0
413,610,U Did It,Chris Brown,Royalty (Deluxe Version),67,2017.0,8.0,4.0,75.5
414,223,Nothing Left for You,Sam Smith,The Thrill of It All (Special Edition),67,2018.0,8.0,6.0,67.5
415,485,Pray 4 Love,Travis Scott,Rodeo (Deluxe),67,2017.0,8.0,13.0,65.5
416,1547,Wasted Times,The Weeknd,My Dear Melancholy,67,2018.0,5.0,13.0,64.0
417,342,Love It If We Made It,The 1975,A Brief Inquiry Into Online Relationships,67,2020.0,4.0,15.0,58.0
418,315,Do You Mind,DJ Khaled,Major Key,66,2017.0,8.0,5.0,76.5
419,1141,Luv,Tory Lanez,LUV,66,2017.0,5.0,13.0,75.25
420,1043,Outcast,Mainland,Outcast EP,66,2018.0,7.0,14.0,73.75
421,557,Can I Kick It?,A Tribe Called Quest,People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition),66,2018.0,6.0,15.0,73.5
422,595,Do What I Want,Lil Uzi Vert,The Perfect Luv Tape,66,2017.0,5.5,12.0,70.75
423,825,Privilege,The Weeknd,My Dear Melancholy,66,2018.0,5.0,10.5,65.75
424,458,I Was Never There,The Weeknd,My Dear Melancholy,66,2018.0,5.0,13.0,64.0
425,118,This Life,Vampire Weekend,Father of the Bride,66,2020.0,7.0,15.0,59.0
426,541,Saturday Nights,Khalid,Suncity,66,2018.5,10.0,12.0,54.0
427,1080,Worship You,Vampire Weekend,Modern Vampires of the City,65,2018.0,8.0,15.0,80.0
428,803,Rebellion (Lies),Arcade Fire,Funeral,65,2019.0,8.0,14.0,74.5
429,575,Jiu Jitsu (feat. Chris Brown),OneInThe4Rest,Jiu Jitsu (feat. Chris Brown),65,2017.0,5.0,12.0,74.0
430,320,That Far,6LACK,That Far,65,2017.0,8.0,5.0,73.5
431,844,No Good,Kaleo,A/B,65,2018.0,9.0,14.0,70.0
432,982,Flashed Junk Mind,Milky Chance,Sadnecessary,65,2020.0,3.0,13.0,60.5
433,310,Private Show,T.I.,Paperwork (Deluxe Explicit),64,2017.0,8.0,4.5,77.5
434,933,Moonlight,XXXTentacion,?,64,2018.0,8.0,12.0,64.5
435,130,Punchin' Bag,Cage the Elephant,Tell Me I'm Pretty,64,2019.0,10.0,14.0,62.25
436,220,Hannah Hunt,Vampire Weekend,Modern Vampires of the City,64,2018.0,9.0,5.5,57.75
437,502,Tone it Down (feat. Chris Brown),Gucci Mane,Mr. Davis,64,2017.0,11.0,13.0,55.25
438,207,still feel.,half•alive,still feel.,64,2018.0,11.0,13.0,53.75
439,513,Bull Ride,Magic City Hippies,Hippie Castle EP,63,2019.0,8.0,15.0,74.5
440,783,All The Pretty Girls - Recorded at Spotify Studios NYC,Kaleo,Spotify Singles,63,2020.0,7.0,16.0,74.5
441,394,Blem,Drake,More Life,63,2017.0,10.0,10.0,67.5
442,499,Favorite Song (ft. Childish Gambino),Chance the Rapper,Acid Rap,63,2017.0,8.0,12.0,65.5
443,690,Cold Cold Cold,Cage the Elephant,Tell Me I'm Pretty,63,2020.0,5.0,15.0,56.0
444,457,Dubai Shit,Huncho Jack,Huncho Jack Jack Huncho,63,2018.0,5.0,14.0,53.5
445,567,Childs Play,Drake,Views,62,2017.0,8.0,14.0,75.5
446,562,Tr$ Scott   Money Power Respect,wavycarti,,62,2017.0,8.5,14.5,71.75
447,841,Lover Boy,Phum Viphurit,Lover Boy,62,2018.0,9.0,14.5,68.25
448,1111,yamborghini high,A$AP Mob,Yamborghini High,62,2017.0,8.0,14.0,66.0
449,221,Ready Able,Grizzly Bear,Veckatimest,62,2018.0,9.0,5.0,59.5
450,222,Lay Me Down,Sam Smith,In The Lonely Hour (Drowning Shadows Edition),62,2018.0,9.0,5.0,59.0
451,1255,4th Dimension,Kids See Ghosts,Kids See Ghosts,62,2019.0,6.0,15.0,57.25
452,313,Anyway,Chris Brown,Royalty (Deluxe Version),61,2017.0,8.0,4.0,76.0
453,1313,It Wasn't Me,Shaggy,The Boombastic Collection - Best of Shaggy,61,2018.0,6.0,14.0,70.0
454,185,Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,61,2019.0,6.0,15.0,67.0
455,1546,Try Me,The Weeknd,My Dear Melancholy,61,2018.0,5.0,13.0,64.0
456,689,Reptilia,The Strokes,Room on Fire,60,2019.0,8.0,16.0,80.0
457,269,Mamacita,Travi$ Scott,Mamacita,60,2017.0,9.0,11.0,66.0
458,1545,Hurt You,The Weeknd,My Dear Melancholy,60,2018.0,5.0,12.5,64.0
459,495,By Design,Kid Cudi,Passion Pain & Demon Slayin',60,2017.0,9.0,12.0,60.5
460,1041,Too Close,Alex Clare,The Lateness Of the Hour,59,2018.0,7.0,16.0,79.0
461,809,Take Me Home,Bryce Vine,Lazy Fair,59,2019.0,5.0,13.0,68.5
462,294,No Role Modelz,J. Cole,2014 Forest Hills Drive,59,2018.0,10.0,15.0,65.5
463,964,Keep Me,Khalid,American Teen,59,2019.0,5.0,13.0,63.5
464,206,Better Now,Post Malone,beerbongs & bentleys,59,2018.0,9.0,16.0,62.0
465,405,Passionfruit,Drake,More Life,59,2017.0,9.0,11.0,61.5
466,287,Smoke Again (Ft. Ab-Soul),Chance the Rapper,Acid Rap,59,2017.0,9.0,11.0,58.0
467,134,Love Galore (feat. Travis Scott),SZA,Ctrl,59,2018.0,9.0,7.0,57.0
468,769,Gap In The Clouds,Yellow Days,Harmless Melodies,58,2020.0,8.0,17.0,80.25
469,974,The Adults Are Talking,The Strokes,The New Abnormal,58,2020.0,6.0,14.0,78.0
470,673,Bake Sale (Feat. Travis Scott),Wiz Khalifa,Bake Sale (feat. Travis Scott),58,2017.0,8.0,12.0,74.5
471,734,Cocaine Jesus,Rainbow Kitten Surprise,RKS,58,2019.0,8.5,18.0,69.25
472,925,Angela,The Lumineers,Cleopatra,58,2019.5,8.0,16.5,65.5
473,443,Sophie So,Hippo Campus,Bashful Creatures,58,2019.0,5.5,15.0,63.25
474,201,Bold,The Districts,A Flourish And A Spoil,58,2019.0,8.0,14.5,59.75
475,906,Deserve (feat. Travis Scott),Kris Wu,Deserve (feat. Travis Scott),58,2017.0,10.0,13.0,57.5
476,934,To Hotty,Migos,To Hotty,57,2017.0,8.0,13.0,79.0
477,284,Up,Desiigner,Up,57,2017.0,6.0,13.0,74.0
478,1081,September,Earth Wind & Fire,THE ETERNAL DANCE,57,2018.0,6.0,14.0,71.0
479,98,Lydia,Highly Suspect,Mister Asylum,57,2019.0,8.0,16.0,67.5
480,653,Motorcycle Patches,Huncho Jack,Huncho Jack Jack Huncho,57,2018.0,7.0,12.0,60.5
481,1076,Chainsmoking,Jacob Banks,Village,57,2019.0,3.0,19.0,58.0
482,299,Signs,Drake,Signs,56,2017.0,8.0,12.0,78.25
483,798,Wedding Crashers,Aminé,Good for You,56,2018.0,6.0,14.0,78.0
484,791,Mind Mischief,Tame Impala,Lonerism,56,2019.0,6.0,14.0,76.25
485,463,Look Alive (feat. Drake),Blocboy JB,Look Alive (feat. Drake),56,2018.0,8.0,15.5,75.25
486,583,iSpy,KYLE,iSpy,56,2017.0,5.0,12.0,74.5
487,840,Tighten Up,The Black Keys,Brothers,56,2018.0,8.0,14.0,74.5
488,1156,Hang Me Up to Dry,Cold War Kids,Robbers & Cowards,56,2018.0,8.0,15.0,74.5
489,1007,One Dance,Drake,One Dance,56,2017.0,5.0,13.0,74.0
490,581,Hookah,Tyga,Hookah,56,2017.0,7.0,13.0,71.0
491,668,Body,Eugy,Body,56,2017.0,6.0,15.0,70.5
492,980,Banana Pancakes,Jack Johnson,In Between Dreams,56,2019.0,5.0,15.0,70.5
493,559,Can't Get Enough,J. Cole,Can't Get Enough,56,2018.0,8.0,13.0,70.0
494,90,Why'd You Only Call Me When You're High?,Arctic Monkeys,AM,56,2019.0,8.0,15.5,67.5
495,344,Hey There Delilah,Plain White T's,All That We Needed,56,2018.0,8.0,14.0,63.5
496,736,Just A Friend,Biz Markie,Biz's Baddest Beats: The Best of Biz Markie,56,2018.0,5.5,14.5,62.5
497,918,Your Soul,Forrest.,Warm,56,2020.0,4.0,15.0,61.0
498,540,My Body,Young the Giant,Young the Giant (Special Edition),56,2019.0,6.5,15.0,57.5
499,780,Lucid Dreams,Juice WRLD,Goodbye & Good Riddance,56,2018.0,10.0,13.0,57.25
500,659,Ice Tray,Quality Control,Quality Control: Control the Streets Volume 1,56,2018.0,4.5,14.0,53.0
501,1425,Famous,Kanye West,Famous,55,2017.0,5.0,14.0,74.0
502,732,All's Well That Ends,Rainbow Kitten Surprise,RKS,55,2019.0,8.0,16.0,72.0
503,631,Circles,Mac Miller,Circles,55,2020.0,7.0,15.0,63.5
504,648,lose,Travis Scott,Birds in the Trap Sing McKnight,55,2017.0,9.0,12.0,58.5
505,128,Walking on a Dream,Empire of the Sun,Walking on a Dream,55,2019.0,10.0,15.0,57.0
506,1321,Modern Slavery,Huncho Jack,Huncho Jack Jack Huncho,55,2018.0,4.0,12.0,52.5
507,2099,Wonderful,Travi$ Scott,Birds in the Trap Sing McKnight,54,2017.0,7.0,14.0,83.0
508,459,Middle,DJ Snake,Encore,54,2018.0,5.0,14.0,76.5
509,369,Beautiful Girls,Sean Kingston,Beautiful Girls,54,2018.0,5.0,13.0,72.5
510,121,Home of the Strange,Young the Giant,Home of the Strange,54,2019.0,9.0,14.0,70.75
511,892,Weak,AJR,The Click,54,2018.0,4.0,17.0,68.75
