,Artist,Month,Plays,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count
0,Misfits,11.0,1,"['horror punk', 'new jersey hardcore', 'new jersey punk', 'punk']",0.1427241203883495,0.3651310679611651,125905.01941747572,0.9199126213592228,0.13770832766990287,0.2325665048543688,-9.58256796116505,0.07817378640776697,139.26828155339805,0.3131422330097089,40.31553398058252,11,1,206
1583,McCoy Tyner,9.0,1,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz fusion', 'jazz piano', 'soul jazz', 'stride']",0.7441666666666666,0.512,352223.97222222225,0.35411111111111115,0.5506126888888888,0.15271111111111116,-15.861027777777775,0.046494444444444435,107.93836111111106,0.3931944444444444,26.13888888888889,5,0,36
1582,Wes Montgomery,9.0,1,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz guitar', 'soul jazz']",0.8301809045226136,0.5514070351758795,300879.24623115576,0.2986530653266332,0.4685567839195979,0.2270964824120601,-17.444999999999983,0.04444170854271357,119.0207035175879,0.5774934673366834,23.819095477386927,0,1,199
1581,Matt Maeson,9.0,1,['modern rock'],0.3369714285714284,0.6227142857142856,203661.07142857145,0.5068571428571428,0.002432542857142857,0.10407142857142856,-7.658499999999999,0.07207857142857142,105.33464285714287,0.3583571428571428,64.21428571428571,0,1,14
674,Abhi The Nomad,10.0,1,"['desi hip hop', 'vapor soul']",0.406,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61.0,7,1,2
1577,Maren Morris,9.0,1,"['contemporary country', 'texas country']",0.19397296551724136,0.5434137931034482,202166.41379310345,0.6929655172413791,1.402e-05,0.18556206896551727,-5.5583793103448285,0.0500655172413793,97.68510344827585,0.5046896551724139,65.3103448275862,9,1,29
1576,Michael Jackson,6.0,1,"['pop', 'r&b', 'soul']",0.2592356432432429,0.7094972972972987,266140.5135135135,0.6930259459459461,0.040105291027027014,0.19845756756756755,-7.236510810810808,0.068377027027027,117.23829189189188,0.6250221621621628,48.93243243243244,11,1,370
1575,Michael Jackson,7.0,1,"['pop', 'r&b', 'soul']",0.2592356432432429,0.7094972972972987,266140.5135135135,0.6930259459459461,0.040105291027027014,0.19845756756756755,-7.236510810810808,0.068377027027027,117.23829189189188,0.6250221621621628,48.93243243243244,11,1,370
1573,Michael Jackson,9.0,1,"['pop', 'r&b', 'soul']",0.2592356432432429,0.7094972972972987,266140.5135135135,0.6930259459459461,0.040105291027027014,0.19845756756756755,-7.236510810810808,0.068377027027027,117.23829189189188,0.6250221621621628,48.93243243243244,11,1,370
1572,half•alive,1.0,1,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",0.17656666666666668,0.6756666666666667,211263.0,0.6616666666666666,5.243333333333333e-05,0.1930333333333333,-6.314666666666668,0.10253333333333332,88.66000000000004,0.5529999999999999,65.0,7,0,6
680,Abhi The Nomad,4.0,1,"['desi hip hop', 'vapor soul']",0.406,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61.0,7,1,2
681,Abhi The Nomad,3.0,1,"['desi hip hop', 'vapor soul']",0.406,0.722,214059.5,0.5885,0.000525,0.17185,-7.4595,0.0953,106.4485,0.3195,61.0,7,1,2
1571,half•alive,3.0,1,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",0.17656666666666668,0.6756666666666667,211263.0,0.6616666666666666,5.243333333333333e-05,0.1930333333333333,-6.314666666666668,0.10253333333333332,88.66000000000004,0.5529999999999999,65.0,7,0,6
1584,Wiley from Atlanta,9.0,1,[],0.485,0.565,223101.0,0.5660000000000001,6.55e-06,0.10400000000000001,-8.737,0.141,138.836,0.435,58.0,9,0,2
1570,half•alive,4.0,1,"['indie pop', 'modern alternative rock', 'modern rock', 'rock']",0.17656666666666668,0.6756666666666667,211263.0,0.6616666666666666,5.243333333333333e-05,0.1930333333333333,-6.314666666666668,0.10253333333333332,88.66000000000004,0.5529999999999999,65.0,7,0,6
687,Empire of the Sun,6.0,1,"['alternative dance', 'australian dance', 'australian electropop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']",0.10334007142857148,0.6960714285714283,245653.42857142852,0.7791428571428575,0.06012173142857144,0.28507857142857146,-5.161642857142857,0.04187142857142858,125.8275,0.5328642857142855,57.78571428571429,5,0,28
689,Empire of the Sun,4.0,1,"['alternative dance', 'australian dance', 'australian electropop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']",0.10334007142857148,0.6960714285714283,245653.42857142852,0.7791428571428575,0.06012173142857144,0.28507857142857146,-5.161642857142857,0.04187142857142858,125.8275,0.5328642857142855,57.78571428571429,5,0,28
691,Empire of the Sun,2.0,1,"['alternative dance', 'australian dance', 'australian electropop', 'dance-punk', 'electropop', 'indietronica', 'neo-synthpop', 'new rave']",0.10334007142857148,0.6960714285714283,245653.42857142852,0.7791428571428575,0.06012173142857144,0.28507857142857146,-5.161642857142857,0.04187142857142858,125.8275,0.5328642857142855,57.78571428571429,5,0,28
1564,a-ha,3.0,1,"['album rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.12053217391304345,0.5590869565217395,241200.4782608696,0.6606086956521738,0.04137450869565217,0.14938695652173914,-11.208782608695653,0.03777826086956522,131.8253478260869,0.5487391304347823,48.52173913043478,9,1,46
